isbn,title,writer,publisher,released_on,list_price,pages,genre,language
978-4685363564,The Distant Garden,Diego Okoro,Northwind Books,2014-05-26,35.99,521,science,Spanish
978-7414745901,The Golden Machine,Sven Costa,Cobalt House,2003-01-08,44.99,482,reference,Spanish
978-6180887020,The Distant River,Omar Bauer,Penguin,2020-12-03,12.99,370,reference,Japanese
978-7379965387,The Golden Machine,Omar Tanaka,Meridian,2014-08-26,12.99,430,fiction,Spanish
978-1775616258,The Golden Garden,Diego Costa,Meridian,2002-05-04,39.99,463,poetry,German
978-9372049508,The Distant Machine,Priya Costa,Penguin,2023-08-08,36.99,375,fiction,French
978-4545740225,The Broken Empire,Diego Reddy,Vertex Press,2015-09-05,21.99,470,reference,Spanish
978-9597881545,The Broken Empire,Noah Reddy,Meridian,1998-01-12,36.99,362,reference,English
978-7074610227,The Distant Garden,Priya Haddad,Meridian,2014-04-25,45.99,616,science,Japanese
978-3537485419,The Silent Machine,Amara Nguyen,Penguin,2012-10-28,23.99,524,biography,German
978-5475791908,The Distant River,Diego Costa,Vertex Press,2017-02-26,31.99,294,reference,German
978-4451774378,The Distant River,Sven Kovac,Meridian,1998-06-17,11.99,401,reference,Spanish
978-5489030250,The Distant River,Amara Kovac,Vertex Press,2005-10-16,44.99,183,science,German
978-7208968747,The Golden Machine,Sven Bauer,Northwind Books,2014-01-10,28.99,330,history,English
978-8097512725,The Distant River,Diego Costa,Cobalt House,2018-06-20,26.99,216,fiction,Spanish
978-8447773407,The Broken River,Noah Bauer,Cobalt House,2014-03-13,14.99,459,reference,Spanish
978-3302448936,The Silent Garden,Mei Tanaka,Meridian,2002-11-28,12.99,458,reference,Spanish
978-7364823895,The Silent River,Grace Silva,Meridian,1998-06-02,45.99,341,fiction,Japanese
978-3462726753,The Broken Garden,Leila Nguyen,Meridian,1999-11-19,29.99,470,reference,German
978-9967388957,The Golden River,Leila Moreno,Penguin,2000-01-27,27.99,473,poetry,Japanese
978-5372492893,The Distant River,Freya Khan,Northwind Books,2018-06-12,32.99,483,reference,English
978-1134171704,The Golden Garden,Priya Costa,Penguin,1999-05-19,18.99,152,poetry,French
978-9943048148,The Distant Machine,Wei Bauer,Northwind Books,2004-09-06,44.99,354,reference,Japanese
978-5894767962,The Distant Garden,Leila Nguyen,Northwind Books,2006-03-12,16.99,387,poetry,French
978-6363916346,The Golden Empire,Grace Haddad,Meridian,2021-08-02,24.99,549,science,English
978-9191706177,The Silent River,Freya Nguyen,Northwind Books,2004-08-27,32.99,409,science,Spanish
978-9195678459,The Distant Machine,Yuki Haddad,Meridian,1999-10-21,29.99,383,history,French
978-5702089567,The Broken Machine,Diego Kovac,Cobalt House,2011-11-10,24.99,293,biography,Spanish
978-2541683570,The Golden River,Diego Nguyen,Cobalt House,2016-11-27,16.99,362,biography,French
978-9268945069,The Distant Machine,Freya Tanaka,Meridian,2012-06-22,15.99,289,reference,Spanish
